group,variable,value
2000,Action,6.86
2000,Adventure,7
2000,Fighting,7.3
2000,Misc,7.4
2000,Platform,7.6
2000,Puzzle,6.3
2000,Racing,7.21
2000,Role-Playing,8.08
2000,Shooter,7.71
2000,Simulation,8.18
2000,Sports,7.5
2000,Strategy,8.42
2001,Action,7.43
2001,Adventure,7.04
2001,Fighting,8.26
2001,Misc,6.94
2001,Platform,7.53
2001,Puzzle,7.85
2001,Racing,7.18
2001,Role-Playing,8.39
2001,Shooter,7.4
2001,Simulation,8.01
2001,Sports,7.71
2001,Strategy,8.3
2002,Action,7.55
2002,Adventure,7.65
2002,Fighting,7.5
2002,Misc,6.99
2002,Platform,7.29
2002,Puzzle,6.97
2002,Racing,7.35
2002,Role-Playing,8.07
2002,Shooter,7.63
2002,Simulation,7.85
2002,Sports,7.72
2002,Strategy,8.11
2003,Action,7.52
2003,Adventure,7.18
2003,Fighting,7.86
2003,Misc,7.58
2003,Platform,7.73
2003,Puzzle,9.1
2003,Racing,7.82
2003,Role-Playing,8.35
2003,Shooter,7.62
2003,Simulation,8.48
2003,Sports,8.15
2003,Strategy,8.17
2004,Action,7.56
2004,Adventure,7.78
2004,Fighting,7.56
2004,Misc,7
2004,Platform,8.13
2004,Puzzle,8.2
2004,Racing,7.73
2004,Role-Playing,7.93
2004,Shooter,7.58
2004,Simulation,7.76
2004,Sports,8.08
2004,Strategy,7.9
2005,Action,7.6
2005,Adventure,6.7
2005,Fighting,7.36
2005,Misc,7.09
2005,Platform,7.38
2005,Puzzle,6.61
2005,Racing,7.34
2005,Role-Playing,7.92
2005,Shooter,7.63
2005,Simulation,7.63
2005,Sports,7.57
2005,Strategy,7.95
2006,Action,7.35
2006,Adventure,6.94
2006,Fighting,7.58
2006,Misc,7.36
2006,Platform,7.01
2006,Puzzle,7.02
2006,Racing,7.09
2006,Role-Playing,7.57
2006,Shooter,7.25
2006,Simulation,7.07
2006,Sports,7.15
2006,Strategy,7.13
2007,Action,6.69
2007,Adventure,7.33
2007,Fighting,7.34
2007,Misc,6.51
2007,Platform,6.71
2007,Puzzle,6.82
2007,Racing,6.65
2007,Role-Playing,7.37
2007,Shooter,7.37
2007,Simulation,6.98
2007,Sports,6.81
2007,Strategy,6.71
2008,Action,7.1
2008,Adventure,6.46
2008,Fighting,7.16
2008,Misc,6.54
2008,Platform,6.84
2008,Puzzle,7.56
2008,Racing,6.64
2008,Role-Playing,7.62
2008,Shooter,6.94
2008,Simulation,7.15
2008,Sports,6.67
2008,Strategy,6.91
2009,Action,6.99
2009,Adventure,6.53
2009,Fighting,6.93
2009,Misc,6.91
2009,Platform,6.89
2009,Puzzle,7.18
2009,Racing,7.06
2009,Role-Playing,7.58
2009,Shooter,6.78
2009,Simulation,6.92
2009,Sports,6.86
2009,Strategy,7.27
2010,Action,6.82
2010,Adventure,7.09
2010,Fighting,7.4
2010,Misc,6.2
2010,Platform,7.71
2010,Puzzle,7.01
2010,Racing,6.8
2010,Role-Playing,7.37
2010,Shooter,6.86
2010,Simulation,6.01
2010,Sports,6.8
2010,Strategy,7.24
2011,Action,6.59
2011,Adventure,7.18
2011,Fighting,6.82
2011,Misc,6.63
2011,Platform,7.41
2011,Puzzle,6.32
2011,Racing,6.61
2011,Role-Playing,7.27
2011,Shooter,6.36
2011,Simulation,5.61
2011,Sports,6.4
2011,Strategy,6.43
2012,Action,6.79
2012,Adventure,7.49
2012,Fighting,6.59
2012,Misc,6.81
2012,Platform,7.48
2012,Puzzle,8.2
2012,Racing,6.37
2012,Role-Playing,6.8
2012,Shooter,6.81
2012,Simulation,7.8
2012,Sports,6.45
2012,Strategy,7.84
2013,Action,7.09
2013,Adventure,7.43
2013,Fighting,7.22
2013,Misc,7
2013,Platform,6.69
2013,Puzzle,6.8
2013,Racing,5.18
2013,Role-Playing,7.47
2013,Shooter,5.88
2013,Simulation,4.51
2013,Sports,5.29
2013,Strategy,4.63
2014,Action,6.67
2014,Adventure,6.91
2014,Fighting,7.14
2014,Misc,7.41
2014,Platform,7.84
2014,Puzzle,8.6
2014,Racing,5.98
2014,Role-Playing,6.88
2014,Shooter,6.77
2014,Simulation,6.46
2014,Sports,5.27
2014,Strategy,6.8
2015,Action,6.94
2015,Adventure,7.79
2015,Fighting,6.9
2015,Misc,6.37
2015,Platform,7.44
2015,Puzzle,7.77
2015,Racing,5.86
2015,Role-Playing,7.83
2015,Shooter,6.07
2015,Simulation,6.76
2015,Sports,5.01
2015,Strategy,7.06
Total,Action,7.07
Total,Adventure,7.1
Total,Fighting,7.29
Total,Misc,6.79
Total,Platform,7.34
Total,Puzzle,7.13
Total,Racing,7.02
Total,Role-Playing,7.59
Total,Shooter,7.07
Total,Simulation,7.16
Total,Sports,7
Total,Strategy,7.24
2000,Total,7.53
2001,Total,7.59
2002,Total,7.59
2003,Total,7.86
2004,Total,7.75
2005,Total,7.51
2006,Total,7.25
2007,Total,6.9
2008,Total,6.95
2009,Total,6.99
2010,Total,6.88
2011,Total,6.62
2012,Total,6.82
2013,Total,6.47
2014,Total,6.58
2015,Total,6.67
Total,Total,7.13
